month,is_inserted,aoi_px,observed_px,observed_frac_of_aoi,p_native_wet_frac,p_resolved_wet_frac
1995-01,False,499979,354094,0.7082177451452961,0.01760831869503578,0.012470523761998004
1995-02,False,499979,477724,0.9554881305014811,0.28413267912016144,0.2714854023869003
1995-03,False,499979,216882,0.43378221885319185,0.06014330373198329,0.026089095742021166
1995-04,False,499979,489175,0.9783910924258818,0.016961210200848367,0.016594696977273046
1995-05,False,499979,489132,0.9783050888137301,0.011614451722643377,0.01136247722404341
1995-06,False,499979,488933,0.9779070720970281,0.008808977917219742,0.008614361803195735
1995-07,False,499979,489027,0.9780950799933598,0.00789117983260638,0.0077183241696151235
1995-08,False,499979,489183,0.9784070930979101,0.006792958872242085,0.006646279143724037
1995-09,False,499979,489236,0.9785130975500971,0.004388475091775749,0.004294180355574934
1995-10,False,499979,489177,0.9783950925938889,0.0027249850258699816,0.0026661119767030215
1995-11,False,499979,489243,0.9785270981381218,0.001461441451385099,0.0014300600625226259
1995-12,False,499979,15969,0.031939341452341,0.004070386373598848,0.00013000546022932962
1996-01,False,499979,52,0.0001040043681834637,0.0,0.0
1996-02,False,499979,489243,0.9785270981381218,0.0037343406037490573,0.003654153474445927
1996-03,False,499979,0,0.0,nan,0.0
1996-04,False,499979,140785,0.2815818264367103,0.016223319245658275,0.00456819186405829
1996-05,False,499979,489132,0.9783050888137301,0.00994005708070623,0.009724408425153857
1996-06,False,499979,488980,0.9780010760451939,0.005329461327661663,0.005212218913194355
1996-07,False,499979,489124,0.9782890881417019,0.003408133724781446,0.003334140033881423
1996-08,False,499979,489198,0.978437094357963,0.0022751523922828793,0.002226093495926829
1996-09,False,499979,489229,0.9784990969620724,0.001508496021290643,0.0014760619946037733
1996-10,False,499979,489239,0.9785190978021077,0.0009095758923552701,0.0008900373815700259
1996-11,False,499979,489259,0.9785590994821782,0.0011527636691404757,0.0011280473779898756
1996-12,False,499979,489242,0.9785250980541182,0.0008891305325380895,0.0008700365415347445
1997-01,False,499979,7207,0.014414605413427364,0.0011100319134175107,1.6000672028225185e-05
1997-02,False,499979,194076,0.3881683030687289,0.15324924256476843,0.05948649843293418
1997-03,False,499979,489238,0.9785170977181041,0.013645710267804218,0.013352560807553917
1997-04,False,499979,489229,0.9784990969620724,0.00878116383125285,0.008592360879156925
1997-05,False,499979,489149,0.9783390902417901,0.01140347828575751,0.01115646857168001
1997-06,False,499979,96537,0.19308210944859683,0.004371380921304784,0.0008440354494888786
1997-07,False,499979,489145,0.978331089905776,0.00594915618068262,0.005820244450266911
1997-08,False,499979,87373,0.1747533396402649,0.0012933057122909823,0.00022600949239868075
1997-09,False,499979,489218,0.9784770960380336,0.0027431533590342137,0.002684112732734775
1997-10,False,499979,488310,0.97666101976283,0.001404845282709754,0.0013720576264203096
1997-11,False,499979,489251,0.97854309881015,0.0012570234910097271,0.0012300516621698112
1997-12,False,499979,489170,0.9783810920058642,0.0011407077294192203,0.0011160468739687067
1998-01,False,499979,489247,0.9785350984741359,0.006595850357794733,0.006454271079385334
1998-02,False,499979,198144,0.3963046447950814,0.016684835271317828,0.006612277715664058
1998-03,False,499979,373851,0.7477334048030018,0.016225715592575653,0.012132509565401748
1998-04,False,499979,489160,0.9783610911658289,0.010875787063537493,0.01064044689876975
1998-05,False,499979,488428,0.9768970296752464,0.01131589507563039,0.011054464287500076
1998-06,False,499979,489159,0.9783590910818254,0.003869907330745218,0.0037861590186787845
1998-07,False,499979,489133,0.9783070888977337,0.0056998812184007215,0.0055762342018364774
1998-08,False,499979,489213,0.9784670956180159,0.00490583856111755,0.0048002016084675555
1998-09,False,499979,489245,0.9785310983061288,0.004486504716450858,0.0043901843877442856
1998-10,False,499979,488608,0.9772570447958814,0.001643444233414107,0.001606067454833103
1998-11,False,499979,489215,0.978471095786023,0.0005907423116625614,0.0005780242770196348
1998-12,False,499979,76105,0.1522163930885097,0.019407397674265817,0.002954124073211075
1999-01,False,499979,489232,0.978505097214083,0.021298688556758347,0.020840875316763305
1999-02,False,499979,328957,0.657941633548609,0.08868636326328365,0.0583504507189302
1999-03,False,499979,489245,0.9785310983061288,0.25675275168882666,0.25124055210318835
